Phase,Duration_ms,Cumulative_ms,Workers
START,0,0,17
ARGUMENTS_PARSED,0,0,17
CLUSTER_INIT_START,6,6,17
CLUSTER_INITIALIZED,24,31,17
FILE_PROCESSING_START,0,31,17
FILE_SPLITTING_START,3,35,17
FILE_SPLITTED,38,73,17
FILES_DISTRIBUTED,0,73,17
MAKEFILE_GENERATION_START,0,73,17
MAKEFILE_GENERATED,12,86,17
FILE_PROCESSING_COMPLETED,0,86,17
MAKEFILE_PARSING_START,0,86,17
MAKEFILE_PARSED,6,93,17
TASK_CONFIGURATION_START,3,96,17
TASKS_CONFIGURED,0,97,17
DISTRIBUTED_EXECUTION_START,0,98,17
EXECUTION_COMPLETED,1517,1616,17
TOTAL,1616,1616,17
