Phase,Duration_ms,Cumulative_ms,Workers
START,0,0,17
ARGUMENTS_PARSED,0,0,17
CLUSTER_INIT_START,7,7,17
CLUSTER_INITIALIZED,25,32,17
FILE_PROCESSING_START,0,32,17
FILE_SPLITTING_START,3,36,17
FILE_SPLITTED,65,101,17
FILES_DISTRIBUTED,0,101,17
MAKEFILE_GENERATION_START,0,101,17
MAKEFILE_GENERATED,12,114,17
FILE_PROCESSING_COMPLETED,0,114,17
MAKEFILE_PARSING_START,0,114,17
MAKEFILE_PARSED,7,121,17
TASK_CONFIGURATION_START,3,125,17
TASKS_CONFIGURED,0,125,17
DISTRIBUTED_EXECUTION_START,1,126,17
EXECUTION_COMPLETED,1518,1645,17
TOTAL,1645,1645,17
