Phase,Duration_ms,Cumulative_ms,Workers
START,0,0,17
ARGUMENTS_PARSED,0,0,17
CLUSTER_INIT_START,6,6,17
CLUSTER_INITIALIZED,24,31,17
FILE_PROCESSING_START,0,31,17
FILE_SPLITTING_START,3,35,17
FILE_SPLITTED,100,135,17
FILES_DISTRIBUTED,0,135,17
MAKEFILE_GENERATION_START,0,135,17
MAKEFILE_GENERATED,14,150,17
FILE_PROCESSING_COMPLETED,0,150,17
MAKEFILE_PARSING_START,0,150,17
MAKEFILE_PARSED,8,158,17
TASK_CONFIGURATION_START,4,162,17
TASKS_CONFIGURED,0,163,17
DISTRIBUTED_EXECUTION_START,1,164,17
EXECUTION_COMPLETED,1518,1682,17
TOTAL,1682,1682,17
